,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Mount Diablo,"Mar, Apr, May, Sep, Oct, Nov",North America,Clayton,United States,Walk up,3849.0,1173.1752,,37.88,-121.92,,Buchanan Field,,Central and Southern California Ranges,California,,
Tavan Bogd,"Jul, Aug",Asia,"Ölgyi, Mongolia",Mongolia,Walk up,13392.0,4081.8816,Uknown,49.145334999999996,87.816163,,"Ölgyi, Mongolia",,Altai,,,
Twin Sisters,"Jun, Jul, Aug",North America,Estes Park,United States,Walk up,11428.0,3483.2544,,40.283333,-105.516667,,Denver,,Front Range,Colorado,,
Galenstock,"Jun, Jul, Aug, Sep",Europe,Oberwald,Switzerland,Scramble,11755.0,3582.9240000000004,"E. Desor, D. Dollfuss",47.0333,8.7,,Bern,,,,,1845.0
La Mota,"Jan, Feb, Mar, Oct, Nov, Dec",North America,"Santa Catarina, N.L.",Mexico,Walk up,6627.0,2019.9096,,,,,"Mariano Escobedo; Monterrey, N.L.",,,,,
Paglia Orba,"May, Jun, Jul, Aug, Sep",Europe,Calacuccia,France,Scramble,8284.0,2524.9632,,42.343257,8.878927000000001,,Bastia Poretta,,,,,
Mount Aurora,,Australia/Oceania,Mt Cook Village or Fox Glacier Village,New Zealand,Basic Snow/Ice Climb,8737.0,2663.0376,,,,,Mount Cook Village,,South Island,,,
Pawtuckaway,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,"Raymond, NH",United States,Walk up,995.0,303.276,Native Americans,,,,"Manchester, NH",,,Maine,,
Mount Sir Sandford,"Jun, Jul, Aug, Sep",North America,"Golden, British Columbia",Canada,Technical Climb,11550.0,3520.44,,51.656667,-117.8675,,Calgary,,,,,1953.0
Almirez,"Apr, May, Sep",Europe,Laujar de Andarax,Spain,Walk up,8261.0,2517.9528,,37.087501,-2.912407,,Aeropuerto de Almería,,Andalucian Ranges,,,
Chullo,"Apr, May, Sep",Europe,Laujar de Andarax,Spain,Walk up,8563.0,2610.0024,,37.095169,-3.000126,,Aeropuerto de Almería,,Andalucian Ranges,,,
Mount Ellinor,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Dec",North America,Shelton,United States,Walk up,5944.0,1811.7312,"H. Esteps, D. Utler, J. Waughop",47.521664,-123.260636,,Seattle,,Olympic Mountains,Washington,,1879.0
Sacagewea Peak,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",North America,Bozeman,United States,Walk up,9665.0,2945.8920000000003,,45.896,-110.96799999999999,,Gallatin Valley Airport,,Central Montana Rockies,Montana,,
Bålleberget,"Jun, Jul, Aug, Sep",Europe,Bergsjlass,Sweden,Walk up,981.0,299.0088,Lappstu jonke,61.962005000000005,17.030208,,Sundsvall/ Midlanda,,,,,1900.0
Monte Arido,"Jan, Feb, Mar, Apr, Oct, Nov, Dec",North America,Santa Barbara,United States,Walk up,6010.0,1831.848,,,,,Santa Barbara Municipal,,,California,,
Trusmadi,"Mar, Apr",Asia,Tambunan,Malaysia,,8669.0,2642.3112,,,,,Kota Kinabalu,,Borneo,,,
Kangchejunga South,,Asia,,India,,27808.0,8475.8784,,,,,Darjeeling,,Sikkim-Eastern Nepal Himalaya,,,
Kangchenjunga North,,Asia,"Pang Pema in Nepal is closest ""town""",India,,25397.0,7741.0056,,,,,Darjeeling from India;,,Sikkim-Eastern Nepal Himalaya,,,
Cefn-yr-Ogof,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Rhyl,United Kingdom,,669.0,203.9112,,53.281667000000006,-3.627222,,Liverpool,,Snowdonia,,,
Moelfre Isaf,"Apr, May, Jun, Jul, Aug, Sep",Europe,Rhyl,United Kingdom,,1040.0,316.992,,53.246389,-3.573611,,Liverpool,,Snowdonia,,,
Bihor,"May, Jun, Jul, Aug, Sep, Oct",Europe,Nucet,Romania,Walk up,6066.0,1848.9168,,46.4408,22.6889,,Oradea,,Carpathian Mountains,,,
daugou,,Asia,rilong,China,,18000.0,5486.4,"chad kellogg, joe puryear, stoney richards",,,,chengdu,,,,,2005.0
Vranica,"May, Jun, Jul, Aug",Europe,fojnica,Bosnia and Herzegovina,Major Mountain Expedition,6923.0,2110.1304,uknown,43.956666999999996,17.716389000000003,millions of years ago,sarajevo,,Dinaric Alps,,,1902.0
Mucuñuque,"Jan, Feb, Mar, Apr, Dec",South America,Mérida,Venezuela,Scramble,15322.0,4670.1456,Moritz Blumenthal and Salomón Villareal,8.756357000000001,-70.80248900000001,,Mérida,,Cordillera de Merida,,,1922.0
Hallasan,"May, Jun, Jul",Asia,Seong Sam Jae,"Korea, South",,6398.0,1950.1104,,33.361667,126.52916699999999,,Jeju Airport,,,,Extinct,
Y Garn,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,"Llanberis, Bethesda",United Kingdom,Walk up,3107.0,947.0136,,53.1152,-4.0464,,Birmingham international/Manchester,,Snowdonia,,,
Lliwedd (Y Liwedd),"May, Jun, Jul, Aug",Europe,Betws Y Coed/Llanberis,United Kingdom,Scramble,2946.0,897.9408,,53.0593,-4.0557,,Birmingham international/ Manchester,,Snowdonia,,,
Arenig Fawr,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Bala,United Kingdom,Walk up,2801.0,853.7448,,52.917908,-3.74445,,Liverpool,,Snowdonia,,,
Hicks,,Australia/Oceania,,New Zealand,,10443.0,3183.0264,,,,,,,South Island,,,
Mount Bigelow,"Jan, Feb, Mar, Oct, Nov, Dec",North America,Tucson,United States,Walk up,8550.0,2606.04,Father Kino,32.4155,-110.715,,Tucson International,,Southwest Basins and Ranges,Arizona,,1697.0
Mount Faber,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Asia,Singapore,Malaysia,Walk up,348.0,106.0704,,,,,Singapore Changi International Airport,,,,,
Skil Brum,"May, Jun, Jul",Asia,Skardu,Pakistan,Major Mountain Expedition,24147.0,7360.0056,"Marcus Schmuck, Fritz Wintersteller",35.8535,76.4217,,Islamabad,,,,,1957.0
Panorma Point,,North America,Kimball NE t-shirts,United States,Walk up,5242.0,1597.7616,,41.0225,104.035,,Denver CO,,,Nebraska,,
Grand Veymont,"Jun, Jul, Aug, Sep",Europe,Villard de Lans,France,Walk up,7680.0,2340.864,,44.87,5.526944,,Grenoble,,Dauphine Alps,,,
Anghomar,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",Africa,,Morocco,Scramble,11844.0,3610.0512,,31.574403999999998,-7.021078999999999,,Marrakesh,,High Atlas,,,
Veliki Streser,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Surdulica,Serbia and Montenegro,Walk up,6152.0,1875.1296,,42.37,22.16,,Niš,,Balkan Mountains,,,
Big Mountain,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",North America,Chambersburg,United States,Walk up,2458.0,749.1984,,39.9503,-77.9369,,Harrisburg,,Central Appalachian Ridges,Pennsylvania,,
Gangkar Punsum,"Apr, May, Sep, Oct",Asia,,Bhutan,Major Mountain Expedition,24836.0,7570.0128,,28.03,90.27,,,,Bhutan Himalaya,,,
Storsylen,"May, Jun, Jul, Aug, Sep",Europe,Trondheim,Norway,Walk up,5781.0,1762.0488,,63.0216,12.1997,,"Trondheim airport, Vaernes",,,,,1885.0
Burney Mountain,,North America,Burney,United States,Walk up,7863.0,2396.6424,,40.806569,-121.627931,,Redding,,Cascade Range,California,,
Acho,"Oct, Nov",Asia,Sari,Iran,Walk up,5525.0,1684.02,,36.227,53.1633,,Sari Dasht-e Naz Airport,,Alborz,,,
Sucre,"Jan, Jun, Jul, Dec",South America,Papallacta,Ecuador,Scramble,12313.0,3753.0024,,0.364733,-78.1368,,Quito Ecuador,,Ecuador Andes,,,
Dans Mountain,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,Cumberland,United States,Walk up,2898.0,883.3104,,39.5814,-78.8975,,Baltimore,,Allegheny Mountains,Maryland,,
The Roaches,"Mar, Apr, May, Jun, Jul, Aug",Europe,Leek,United Kingdom,Scramble,1657.0,505.0536,,53.171389000000005,-2.0,,Manchester,,Pennine Chain,,,
Axe Edge,"May, Jun, Jul, Aug, Sep",Europe,Buxton/Leek,United Kingdom,Walk up,1808.0,551.0784,,53.2325,-1.9488889999999999,,Manchester,,Pennine Chain,,,
Mam Tor,"May, Jun, Jul, Aug",Europe,Glossop,United Kingdom,Walk up,1696.0,516.9408,,53.349167,-1.810556,,Manchester,,Pennine Chain,,,
Gun Hill,"Mar, Apr, May, Jun, Jul, Aug, Sep",Europe,Leek,United Kingdom,Walk up,1224.0,373.0752,,53.15055600000001,-2.046389,,Manchester,,Pennine Chain,,,
Black Hill,"Apr, May, Jun, Jul, Aug, Sep",Europe,Glossop,United Kingdom,Walk up,1909.0,581.8632,,,,,Manchester,,Pennine Chain,,,
Scar Mountain,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,"colorado springs, CO",United States,Walk up,7784.0,2372.5632,,,,,"colorado springs, CO",,Front Range,Colorado,,
Mont Guillaume,"May, Jun, Jul, Aug, Sep, Oct",Europe,Embrun,France,Walk up,8340.0,2542.032,,44.5683,6.4239,,Grenoble,,,,,
Bei Tip,"Jun, Jul, Aug",Asia,Gilgit,Pakistan,Major Mountain Expedition,25958.0,7911.9984,,35.44,78.37,,Isalmabad,,Karakoram,,,
Trem - Suva planina,"May, Jun, Jul, Aug",Europe,Nish,Serbia and Montenegro,Walk up,5938.0,1809.9024,,43.1049,22.1034,,Nish,,Balkan Mountains,,,
Ben Wyvis,"Jun, Jul, Aug, Sep",Europe,Inverness,United Kingdom,Walk up,3432.0,1046.0736,,57.67916700000001,-4.579167,,Inverness or Glasgow,,,,,
Fleischbank,"May, Jun, Jul, Aug, Sep, Oct",Europe,Kufstein,Austria,Scramble,7175.0,2186.94,"Ch. Schoellhorn, Th. Widauer",47.5688,12.317,,Munich,,Tirol Alpen,,,1886.0
Cerro Toco,,South America,San Pedro de Atacam,Chile,Walk up,18386.0,5604.0528,,-22.947607,-67.778287,,Antofagasta,,Central Argentina-Chile,,,
Dent d' Hérens,"Jul, Aug, Sep",Europe,Arola,Switzerland,Technical Climb,13684.0,4170.8832,Anderegg,45.969953000000004,7.605109,,Geneve,,,,,1863.0
Buffalo Mountain,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov",North America,"Blacksburg, VA",United States,Walk up,3971.0,1210.3608,,,,,Roanoke Regional,,Blue Ridge Mountains,Virginia,,
Lespezi,Sep,Europe,Sibiu,Romania,Scramble,8274.0,2521.9152,,45.577869,24.570120000000003,,Sibiu,,Carpathian Mountains,,,
Tungurahua,"Jan, Feb, Mar, Apr, Dec",South America,ambato,Ecuador,Major Mountain Expedition,16479.0,5022.7992,Alphons Stübel and Eusebio Rodruguez,1.4669999999999999,-78.442,2006,quito,,Ecuador Andes,,Active,1873.0
Olperer,Aug,Europe,Hintertux,Austria,Scramble,11404.0,3475.9392,"by Paul Grohmann, Jakob Samer and Jakob Huber",47.09,11.96,,Innsbruck,,,,Dormant,1879.0
Sokolov kamen,"Apr, May, Jun, Jul, Aug, Sep",Europe,Nish,Serbia and Montenegro,,4997.0,1523.0856,,43.1158,22.0634,,Nish,,Balkan Mountains,,,
Velika Djulica,"May, Jun, Jul, Aug",Europe,Krusevac,Serbia and Montenegro,Walk up,4895.0,1491.996,,43.2331,21.2657,,Nish,,Balkan Mountains,,,
Volcan Villarricca,"Jan, Feb, Mar, Oct, Nov, Dec",South America,,Chile,Basic Snow/Ice Climb,8.0,2.4384,,,,within last couple years,,,,,Active,
Šiljak (Rtanj),"May, Jun, Jul, Aug",Europe,"Sokobanja, Boljevac, Paracin",Serbia and Montenegro,Walk up,5135.0,1565.148,,43.4625,21.5353,,Nis,,Balkan Mountains,,,
Piz Prevat,,Europe,,Switzerland,Technical Climb,8392.0,2557.8816,,,,,,,,,,
Bonpland,"Jan, Feb, Mar, Apr, Nov, Dec",South America,Merida,Venezuela,Scramble,16043.0,4889.9064,Albert Günther,8.54583,-71.0011,,Alberto Carnevalli - Mérida,,Cordillera de Merida,,,1939.0
El Toro,"Jan, Feb, Mar, Apr, Nov, Dec",South America,Mérida,Venezuela,Walk up,15515.0,4728.972,Alfredo Jahn,8.53167,-71.0889,,Alberto Carnevalli - Mérida,,Cordillera de Merida,,,1910.0
Mount Hanuman Tibba,Jun,Asia,Manali,India,,19633.0,5984.1384,,,,,Kullu,,,,,
Strzelecki,,Australia/Oceania,,Australia,,2480.0,755.904,,,,,,,,,,
Veliki Vitorog,"May, Jun, Jul, Aug, Sep",Europe,Kupres,Bosnia and Herzegovina,Walk up,6257.0,1907.1336,,44.1194,17.0442,,Banja Luka,,Dinaric Alps,,,
Torreneules,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Ribes de Freser (Vall de Núria),Spain,Walk up,8894.0,2710.8912,,42.418451,2.180185,,Barcelona,,Pyrenees,,,
Shaqsha,Jun,South America,Huaraz,Peru,Technical Climb,18711.0,5703.1128,Chancy – D’Aubigne – Emslie – Sipson – Wallace,-9.586063000000001,-77.365799,,,,Peruvian Andes,,,1958.0
Taga,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Sant Joan Abadesses / Ribes de Freser,Spain,Walk up,6693.0,2040.0264,,42.281754,2.209454,,Barcelona,,Pyrenees,,,
Wangore,"May, Jun, Jul",Australia/Oceania,Kimbe,Papua New Guinea,Scramble,3789.0,1154.8872,"Tom Prescott, Tony Valuka",,,Unkown,Hoskins,,Bismarck Archipelago,,Dormant,1997.0
Pico Codazzi,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Colonia Tovar,Venezuela,Walk up,7969.0,2428.9512,Agustin Codazzi,10.412169,-67.30914200000001,,Internacional Simón Bolívar,,Coastal Venezuela,,,1841.0
Cerro Copey,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Porlamar,Venezuela,Walk up,3150.0,960.12,,10.9958,-63.9114,,Santiago Mariño International - Margarita Island,,Coastal Venezuela,,,
Avala,"May, Jun, Jul, Aug, Sep",Europe,Belgrade,Serbia and Montenegro,Walk up,1690.0,515.112,,44.690278,20.514167,undocumented,Belgrade,,Balkan Mountains,,Extinct,
Dragontail Peak,"Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Scramble,8840.0,2694.4320000000002,,47.478986,-120.832958,,Seattle,,Cascade Range,Washington,,
Tsubakuro Dake (Mt. Tsubakuro),"Jul, Aug, Sep, Oct",Asia,Matsumoto,Japan,Walk up,9065.0,2763.012,,36.3996,137.716,,"Narita International Airport, Kansai International Airport",,Honshu,,,
Pendle Hill,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Barley,United Kingdom,Walk up,1831.0,558.0888,,53.868889,-2.3,,manchester,,,,,
Monument Hill,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",North America,"Monument, CO",United States,Walk up,7352.0,2240.8896,,39.0717,-104.515,,Colorado Springs,,,Colorado,,
Shiomi Dake,"Jul, Aug, Sep, Oct",Asia,Koma ga Ne City,Japan,Scramble,10013.0,3051.9624,,35.5746,138.186,,"Narita International Airport, Kansai International Airport",,Honshu,,,
Little Annapurna,"Jun, Jul, Aug, Sep, Oct",North America,Leavenworth,United States,Walk up,8440.0,2572.512,,47.4682,-120.814,,Seattle,,Cascade Range,Washington,,
Cameron Cone,"May, Jun, Jul, Aug, Sep, Oct",North America,"Colorado Springs, CO",United States,Walk up,10707.0,3263.4936,,38.8314,-104.954,,"Colorado Springs, CO",,Front Range,Colorado,,
Mizugaki Yama,"Jun, Jul, Aug, Sep, Oct",Asia,Kofu,Japan,Walk up,7316.0,2229.9168,,35.8936,138.592,,"Narita International, Kansai International",,Honshu,,,
Asama Yama,"Jul, Aug, Sep, Oct",Asia,"Karuizawa, Ueda, Komoro",Japan,Walk up,8425.0,2567.94,,36.4057,138.517,1-Feb-73,"Narita International, Kansai International",,Honshu,,Active,
Yatsu ga Take,"Jan, Jul, Aug, Sep, Oct",Asia,"Suwa, Kofu",Japan,Walk up,9511.0,2898.9528,,35.97075,138.37014,,"Narita International, Kansai International",,Honshu,,Extinct,
Narrenkogel,"May, Jun, Jul, Aug, Sep, Oct",Europe,Längefeld,Austria,Walk up,7575.0,2308.86,,47.13,10.95,,Innsbruck,,Stubai Alps,,,
Mt. Lincoln,"May, Jun, Jul, Aug, Sep",North America,,United States,Walk up,5089.0,1551.1272,,,,,,,White Mountains,New Hampshire,,
Carter Dome,"May, Jun, Jul, Aug, Sep",North America,,United States,Walk up,4832.0,1472.7936,,44.267222,-71.178889,,,,White Mountains,New Hampshire,,
Maglic,,Europe,,Bosnia and Herzegovina,Scramble,7831.0,2386.8888,,43.281110999999996,18.733056,,,,Dinaric Alps,,,
Lupoglav,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,,Bosnia and Herzegovina,,6896.0,2101.9008,,,,,,,Dinaric Alps,,,
Ben Donich,"Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov",Europe,Arrochar,United Kingdom,Walk up,2779.0,847.0392,,56.197778,-4.873889,,Glagow Airport,,,,,
The brack,"Mar, Apr, May, Jun, Jul, Aug, Sep",Europe,Arrochar,United Kingdom,Basic Snow/Ice Climb,2582.0,786.9936,,,,,Glasgow Airport,,Scottish Highlands,,,
Beinn Ime,"May, Jun, Jul, Aug",Europe,Arrochar / Helensburgh / Dumbarton,United Kingdom,Walk up,3317.0,1011.0216,,56.2376,-4.81763,,Glasgow,,Scottish Highlands,,,
Piule,Aug,Europe,Petrosani,Romania,Scramble,6827.0,2080.8696,,,,,Bucharest,,Transylvanian Alps,,,
Beinn Dorain,"May, Jun, Jul, Aug, Sep",Europe,Arrochar or Tyndrum,United Kingdom,Scramble,3530.0,1075.944,,56.5043,-4.7230099999999995,,Glasgow,,Scottish Highlands,,,
Camel Back,"Mar, Apr, May, Sep, Oct",Australia/Oceania,Tuggeranong,Australia,Scramble,4692.0,1430.1216,,,,,Canberra,,South NSW Great Dividing Range,,,
Campsie Fell,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Lennoxtown,United Kingdom,Walk up,1780.0,542.544,,,,,Glasgow Airport,,Scottish Highlands,,Extinct,
Cerro Blanco (Sand Dune),"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Nasca,Peru,Walk up,6791.0,2069.8968,Saul Ceron,-14.868,-74.83800000000001,"Never, because is a sand dune but the highest in the world",Nasca aerodrome,,,,Extinct,1992.0
Buckhorn Knob,"Mar, Apr, May, Sep, Oct",North America,"Princeton, West Virginia",United States,Walk up,4069.0,1240.2312,,37.2927,-80.9801,,Mercer County Airport,,Southern Appalachian Ridges,West Virginia/Virginia,,
Old Mike,"May, Jun, Jul, Aug, Sep",North America,Taos,United States,Walk up,13113.0,3996.8424,,36.5416,-105.4,,Albuquerque,,Sangre de Cristo Range,New Mexico,,
Gaizins,Jun,Europe,Madona,Latvia,Walk up,1020.0,310.89599999999996,,56.8666,25.95,,Riga,,,,,
mount pendleton,"May, Jun, Jul, Aug",North America,Fairbanks,United States,Basic Snow/Ice Climb,7840.0,2389.632,Bradford Washburn,,,,Kantishna,,Alaska Range,Alaska,,
Collado del Cóndor,,South America,Apartaderos,Venezuela,Walk up,13510.0,4117.848,,8.84262,-70.82629200000001,,Mérida,,Cordillera de Merida,,,
"Lisina, Bosnia and Herzegowina","Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,"Banja Luka, Zagreb",Bosnia and Herzegovina,Walk up,3205.0,976.8839999999999,,44.8555,16.9,,"Banja Luka, Zagreb",,Dinaric Alps,,,
Rock Roll Peak,"Jun, Jul, Aug, Sep",North America,"Ketchum, Idaho",United States,Walk up,10458.0,3187.5984,,43.4802,-114.175,,"Boise, Idaho",,Idaho-Bitterroot Rockies,Idaho,,
Government Peak,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Dec",North America,Ontonagon,United States,Walk up,1850.0,563.88,,,,,Bay City,,,Michigan,,
Tsurugi Dake,"Jul, Aug, Sep",Asia,Toyama City,Japan,Scramble,9835.0,2997.708,,36.6204,137.62,,"Narita International Airport, Kansai International Airport",,Honshu,,,
Festkogel,"Jun, Jul, Aug, Sep",Europe,Obergurgl,Austria,Walk up,9957.0,3034.8936,,,,,Innsbruck,,Otztal Alps,,,
Happo One and Karamatsu Dake,"Jul, Aug, Sep",Asia,Hakuba,Japan,Walk up,8845.0,2695.9559999999997,,36.6904,137.774,,"Narita International, Kansai International",,Honshu,,,
Olytsikas (Tomaros),"Apr, May, Jun, Sep, Oct, Nov",Europe,Ioannina,Greece,Scramble,6476.0,1973.8848,,,,,Ioannina,,Greek-Albanian Ranges,,,
Blea Rigg,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Grasmere,United Kingdom,Walk up,1775.0,541.02,,54.460832999999994,-3.078333,,Manchester,,Lake District,,,
Maggiorasca,"Jun, Jul, Aug, Sep",Europe,Santo Stefano d'Aveto,Italy,Walk up,5915.0,1802.892,,44.33,9.33,,Genova,,Apennines,,,
Astraka,"Apr, May, Jun, Jul, Aug, Sep, Oct",Europe,Konitsa,Greece,Scramble,7992.0,2435.9616,,,,,Ioannina,,,,,
Senjou Dake,"Aug, Sep, Oct",Asia,"Kofu, Komagane",Japan,Walk up,9951.0,3033.0648,,35.7195,138.184,,"Narita International, Kansai International",,Honshu,,,
Chopok,"Apr, Aug, Sep, Oct",Europe,Jasná,Slovakia,Walk up,6640.0,2023.872,,48.943611,19.59,,"Sliac, Tatry - Poprad",,Carpathian Mountains,,,
Guslarspitzen,"Jun, Jul, Aug, Sep, Oct",Europe,Vent,Austria,Scramble,10325.0,3147.06,Hermann Schlagintweit,46.8617,10.8333,,Innsbruck,,Otztal Alps,,,1848.0
aiguille de la grande sassière,"Jul, Aug",Europe,Val d'Isère,France,Scramble,12293.0,3746.9064,"W.Mathews with M.Croz - August 5, 1860 (first recorded ascent)",45.5048,6.9994,,Aeroporto internazionale “Corrado Gex“ Saint Christophe (Aosta),,Graian Alps,,,1808.0
Fang Mountain,"May, Jun, Jul",North America,Fairbanks,United States,Technical Climb,6736.0,2053.1328,,,,,Fairbanks,,Alaska Range,Alaska,,
Sljeme,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",Europe,Zagreb,Croatia,Walk up,3396.0,1035.1008,,,,,Zagreb,,,,,
Vaganski vrh,"May, Jun, Jul, Aug, Sep",Europe,Starigrad,Croatia,Walk up,5764.0,1756.8672,,,,,Zadar,,,,,
Mount Capulin,,North America,"Colorado Springs, Co; Amarillo, TX both approx. 190 miles from Capulin, NM.",United States,Walk up,8182.0,2493.8736,,36.783941,-103.967811,"56,000 to 62,000 years ago","Colorado Springs Airport, Colorado Springs, CO; Rick Husband Airport, Amarillo, TX",,Great Plains,New Mexico,Extinct,
Mount Goode,,North America,Anchorage,United States,,10610.0,3233.928,,61.32,-147.98,,Anchorage,,Chugach Mountains,Alaska,,
Matanuska Peak (Byers Peak),"Mar, Apr, Jul, Aug, Sep, Oct",North America,Anchorage,United States,Scramble,6119.0,1865.0712,,61.5881,-148.905,,Anchorage,,Chugach Mountains,Alaska,,
Ober Gabelhorn,"Jul, Aug",Europe,Zinal,Switzerland,Technical Climb,13330.0,4062.9840000000004,lord F Douglas and his guides july 1865,46.038416,7.667642,,Geneve,,,,,
Cnoc Coinnich,"May, Jun, Jul, Aug, Sep",Europe,Arrochar,United Kingdom,Walk up,2497.0,761.0856,,56.166389,-4.846389,,Glasgow Airport,,Scottish Highlands,,,
Aiguille du Chardonnet,"Jul, Aug, Sep",Europe,Argentiere and Chamonix,France,Technical Climb,12546.0,3824.0208,"R. Fowler, M. Balmat and M. Ducroz",45.968889000000004,7.001389,,Geneva,,,,,1865.0
Petkash Peak,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",North America,Colorado Springs,United States,Scramble,8961.0,2731.3128,na,38.940166999999995,-104.90778300000001,,Colorado Springs,,Front Range,Colorado/Colorado,,
Naya Kanga,"Apr, Oct",Asia,Katmandu (Tamel area),Nepal,Major Mountain Expedition,19180.0,5846.064,,28.168321999999996,85.548541,,Kathmandu - Thribuvan Int'l Airport,,Central Nepal Himalaya,,,
Goat Rocks,"Mar, Apr, May, Jun, Jul, Aug, Sep",North America,Tacoma,United States,Scramble,8184.0,2494.4832,Fred G. Plummer,46.4885,-121.40700000000001,,Seattle-Tacoma,,Cascade Range,Washington,,1899.0
Bezymianny,"Mar, Apr, May, Jun, Jul, Aug, Sep, Oct",Asia,Kamen village,Russia,Scramble,9455.0,2881.884,V. Maligin,55.97506800000001,160.582032,2006>(continuing),Kamen village,,South Central Zagros,,Active,1965.0
Foremast,"May, Jun, Jul, Aug, Sep",North America,Golden,Canada,Scramble,8670.0,2642.616,,50.9768,-117.331,,Calgary,British Columbia,Canadian Rockies,,,
Mainmast,"May, Jun, Jul, Aug, Sep",North America,Golden,Canada,Technical Climb,9200.0,2804.16,,50.9823,-117.321,,Calgary,British Columbia,Canadian Rockies,,,
Medicine Lake Volcano,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Dec",North America,mount shasta city,United States,Walk up,7913.0,2411.8824,"Unknown, probably Native American",41.6111,-121.5536,1910? other wise 1857 is the last eruption,mount shasta city,,Cascade Range,California,,
El Pintor,"Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec",South America,Santiago Chile,Chile,Walk up,13780.0,4200.144,,,,,Santiago Chile,,Central Argentina-Chile,,,
Mount Silvertip,"Mar, Apr, May, Jun",North America,Fairbanks,United States,Basic Snow/Ice Climb,9400.0,2865.12,Buck Wilson,63.4898,-145.607,,Fairbanks,,Alaska Range,Alaska,,1952.0
Mount McGinnis,"Mar, Apr, May, Jun",North America,Fairbanks,United States,Technical Climb,11400.0,3474.72,L. Muir T. Knott,63.49,-146.37,,Fairbanks,,Alaska Range,Alaska,,1964.0
Moose's Tooth,"May, Jun, Jul",North America,Talkeetna,United States,Technical Climb,10335.0,3150.1079999999997,J. Krakauer T. Davies N. Zinsser,62.97,-150.611,,Anchorage,,Alaska Range,Alaska,,1975.0
Mt. Canlaon,"Mar, Apr",Asia,"Depending on which side of the mountain is to be taken, the Resort area of Mambucal in the village of Minoyan located in the northwestern foot of the volcano, or the City of La Carlota directly below the western flank of the mountain, serve as centers for supplies.",Philippines,Walk up,8.0,2.4384,"While many climbers have successfully visited the summit-crater of Mt. Canlaon, a local climbing enthusiast by the name of EDWIN GATIA is credited for the promotion of the mountain for both mountaineering and tourism purposes in the early 1970s...",10.98,123.95,Aug-96,"Fly in to the International Airport either in Manila or the City of Cebu, then take a connecting flight to the City of Bacolod.",,,,Active,
Mount Taylor,Jun,North America,"Grants, New Mexico",United States,Scramble,11301.0,3444.5448,,35.238694,-107.608528,3.3 to 1.5 million years ago.,"Albuquerque, New Mexico",,Sangre de Cristo Range,New Mexico,Dormant,
