,Best months for climbing:,Continent:,Convenient Center:,Country:,Difficulty:,Elevation (feet):,Elevation (meters):,First successful climber(s):,Latitude:,Longitude:,Most recent eruption:,Nearest major airport:,Province:,Range/Region:,State:,Volcanic status:,Year first climbed:
Emei Shan,"May, Sep, Oct",Asia,"Emei, China",China,Walk up,10167.0,3098.9016,,29.5333,103.35,,"Chengdu, China",,West Sichuan Ranges,,,
Mount Emin,"Jan, Feb, Jun, Jul, Aug",Africa,"Mutsori, Zaire, Bugoye, Uganda","Congo, Democratic Republic of the",Technical Climb,15740.0,4797.552,"Duke of the Abruzzi, J. Petigax, L. Petigax",0.43333299999999997,29.9,,"Kampala, Uganda, Kigali, Rwanda, Bujumbura, Burundi, Nairobi, Kenya",,Ruwenzori,,,1906.0
Mount Erebus,"Jan, Feb, Dec",Antarctica,"Two permanent research stations on Ross Island:, McMurdo (United States), Scott (New Zealand)",Antarctica,Basic Snow/Ice Climb,12447.0,3793.8456,T.W.E. David and party,-77.5333,167.15,,,,Prince Albert-McMurdo,,Active,1908.0
Monte Etna,"Jun, Jul, Aug",Europe,"Catania, Sicily",Italy,Walk up,10902.0,3322.9296,Empedocles (Greek philosopher),37.75,15.0,2005,"Catania, Sicily",,Sicily,,Active,
Mount Evans,"Jun, Jul, Aug, Sep",North America,"Denver, Colorado",United States,Walk up,14264.0,4347.6672,,39.5886,-105.64299999999999,,"Denver, Colorado",,Front Range,Colorado,,
Mount Everest,"Apr, May",Asia,"Namche Bazar, Nepal",Nepal,Major Mountain Expedition,29035.0,8849.868,"Edmund Hillary, Tenzing Norgay",27.9881,86.9253,,"Kathmandu, Nepal",,Central Nepal Himalaya,,,1953.0
Mount Fairweather,"Jun, Jul, Aug",North America,"Yakutat, Alaska",United States,Basic Snow/Ice Climb,15300.0,4663.44,"Allen Carpé, Terris Moore",58.9072,-137.52700000000002,,"Juneau, Alaska",,Saint Elias Mountains,Alaska,,1931.0
Cerro Fitzroy,"Jan, Feb, Mar, Dec",South America,Calafate (small town on the southern shores of Lago Argentino),Argentina,Technical Climb,11073.0,3375.0504,"Lionel Terray, Guido Magnone",-49.271277000000005,-73.043375,,"Since 2000, El Calafate has its own airport. It is no longer necessary to travel via Rio Gallegos.",,Patagonia,,,1952.0
Mount Foraker,"Apr, May, Jun",North America,"Talkeetna, Alaska",United States,Basic Snow/Ice Climb,17400.0,5303.52,"Charles Hutson, T. Graham Brown, C. Waterston",62.9608,-151.398,,"Anchorage, Alaska",,Alaska Range,Alaska,,1934.0
Mount Forbes,"Jul, Aug, Sep",North America,"Lake Louise, Alberta",Canada,Technical Climb,11850.0,3611.88,"A.J. Ostheimer, M.M. Strumia, J.M. Thorington, E. Feuz Jr.",51.860168,-116.932125,,"Calgary, Alberta",Alberta,Canadian Rockies,,,1926.0
Piton de la Fournaise,"May, Jun, Jul, Aug, Sep, Oct, Nov",Africa,"St. Denis, Réunion Island",Reunion,Walk up,8631.0,2630.7288,,-21.2333,55.7167,2004,"St. Denis, Réunion Island",,Reunion Island,,Active,
